epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2334.05,0.3837,0.5122,0.42589,0.92679,0.78229,0.34647,0.42482,0.29555,0.78229,0.34647,0.4207,0.26198,1.06142,3.15259,3.09903,1.40531,0.000244389,0.000244389,0.000244389
66,2364.53,0.43101,0.75193,0.62273,0.87462,0.78229,0.34647,0.42482,0.29555,0.78229,0.34647,0.4207,0.26198,1.06142,3.15259,3.09903,1.40531,0.000237785,0.000237785,0.000237785
67,2395.47,0.37889,0.57563,0.45919,0.86817,0.33809,0.47876,0.43175,0.29725,0.33809,0.47876,0.42416,0.26315,1.11629,3.18987,3.14253,1.48254,0.000231182,0.000231182,0.000231182
68,2426.01,0.32496,0.48747,0.39783,0.86381,0.74399,0.4177,0.43614,0.30505,0.74399,0.4177,0.42894,0.26122,1.16752,3.21166,3.08834,1.53373,0.000224579,0.000224579,0.000224579
69,2456.5,0.33953,0.49251,0.41233,0.87558,0.74399,0.4177,0.43614,0.30505,0.74399,0.4177,0.42894,0.26122,1.16752,3.21166,3.08834,1.53373,0.000217976,0.000217976,0.000217976
70,2487.39,0.41092,0.60577,0.49425,0.94133,0.36852,0.45417,0.44377,0.31031,0.36852,0.45417,0.43622,0.27623,1.15315,3.14989,3.07388,1.48804,0.000211372,0.000211372,0.000211372
71,2518.03,0.32974,0.51833,0.42029,0.86558,0.39604,0.50589,0.4392,0.31481,0.39604,0.50589,0.43481,0.27965,1.15778,3.08597,3.0921,1.45145,0.000204769,0.000204769,0.000204769
72,2548.89,0.29813,0.3945,0.35934,0.8457,0.39604,0.50589,0.4392,0.31481,0.39604,0.50589,0.43481,0.27965,1.15778,3.08597,3.0921,1.45145,0.000198166,0.000198166,0.000198166
73,2580.61,0.36225,0.56811,0.49195,0.87195,0.35257,0.50113,0.45536,0.32943,0.35257,0.50113,0.44596,0.2935,1.12607,3.02872,2.90538,1.47227,0.000191562,0.000191562,0.000191562
74,2611.15,0.29982,0.59258,0.73196,0.87047,0.35257,0.50113,0.45536,0.32943,0.35257,0.50113,0.44596,0.2935,1.12607,3.02872,2.90538,1.47227,0.000184959,0.000184959,0.000184959
